name,address,full_address,lat,lon,node
The Coffee Bean & Tea Leaf,235 Đồng Khởi,"235 Đồng Khởi, nan, Quận 1, TP HCM, nan",10.7786273,106.6999908,2408529960
Cà Phê Cuộc Sống Dễ Dàng,10A Phạm Ngọc Thạch,"10A Phạm Ngọc Thạch, nan, nan, nan, nan",10.7826261,106.6965122,411918898
Nhà Hàng Ngon,160 Pasteur,"160 Pasteur, nan, nan, nan, nan",10.7773464,106.6996325,411919193
Nhà Hàng Rơm BBQ,2-4-6 Lưu Văn Lang,"2-4-6 Lưu Văn Lang, nan, nan, nan, nan",10.7736789,106.6992615,411926001
Nhà Hàng Nướng Barbecue Garden,135 Nam Kỳ Khởi Nghĩa,"135 Nam Kỳ Khởi Nghĩa, nan, nan, nan, nan",10.7748184,106.6992492,411926545
rạp chiếu phim CGV,101 Nguyễn Văn Linh,"101 Nguyễn Văn Linh, nan, nan, nan, VN",10.7290613,106.7191726,10794829470
COOP EXTRA,101 Nguyễn Văn Linh,"101 Nguyễn Văn Linh, nan, nan, nan, nan",10.7284509,106.7183878,10794829459
Shop&Go!,105C Bến Vân Đồn,"105C Bến Vân Đồn, nan, nan, nan, nan",10.764179,106.7011229,6754230746
Cafe Trung Nguyên,603 Đường Trần Hưng Ðạo,"603 Đường Trần Hưng Ðạo, nan, nan, nan, nan",10.7563655,106.685485,4609836317
Agribank,2 Hồ Tùng Mậu,"2 Hồ Tùng Mậu, nan, nan, nan, nan",10.769774,106.705235,1769173843
BIDV,134 Đường Nguyễn Công Trứ,"134 Đường Nguyễn Công Trứ, nan, nan, nan, nan",10.7692401,106.7017773,411926247
Eximbank,66 Phó Đức Chính,"66 Phó Đức Chính, nan, nan, nan, nan",10.7700479,106.6997069,411926069
Maritime Bank,180-192 Đường Nguyễn Công Trứ,"180-192 Đường Nguyễn Công Trứ, nan, nan, nan, nan",10.7686406,106.7011056,11744922279
Cửa Hàng Tiện Lợi Shop & Go,243 Hai Bà Trưng,"243 Hai Bà Trưng, nan, nan, nan, nan",10.7872473,106.6925533,12363632346
Phở Bắc Hải,25 Nguyễn Thị Minh Khai,"25 Nguyễn Thị Minh Khai, nan, nan, Quận 1, VN",10.7838752,106.6992161,2037756039
Quán Ăn Hoàng Ký 1,94 Đường Huỳnh Mẫn Đạt,"94 Đường Huỳnh Mẫn Đạt, nan, nan, Quận 5, VN",10.755919,106.676499,5794854830
Nhà Hàng Hồ Tây,20 Trần Cao Vân,"20 Trần Cao Vân, nan, nan, Quận 1, VN",10.784324,106.697355,411925935
Quán Cơm Gà Xối Mỡ,219o9o21 Trần Văn Đang,"219o9o21 Trần Văn Đang, nan, nan, nan, nan",10.786308,106.671644,411920902
Big C,1/1 Trường Chinh,"1/1 Trường Chinh, nan, Quận Tân Phú, nan, nan",10.806804,106.634147,2079964882
Cầu Tham Lương - Siêu thị Thiên Hòa,2-6B Trường Chinh,"2-6B Trường Chinh, nan, nan, nan, nan",10.8262527,106.6257874,2091954927
Trà sữa Tea Cup,174 Phan Xích Long,"174 Phan Xích Long, nan, nan, Phú Nhuận, VN",10.7980613,106.6885019,366370560
Nhà Xe Thịnh Phát,25A Sư Vạn Hạnh,"25A Sư Vạn Hạnh, nan, nan, Quận 5, nan",10.7602467,106.6730294,366454289
VietABank,305 Hùng vương,"305 Hùng vương, nan, nan, nan, nan",10.754737,106.660249,1996654477
Shop&Go!,254 Nguyễn Công Trứ,"254 Nguyễn Công Trứ, nan, nan, nan, nan",10.7674953,106.7002265,6783651564
Agribank,18 Huỳnh Tấn Phát,"18 Huỳnh Tấn Phát, nan, nan, Nhà Bè, nan",10.687849,106.743266,7793225064
Cửa Hàng Pizza 4P's,8/15 Lê Thánh Tôn,"8/15 Lê Thánh Tôn, nan, Quận 1, Thành Phố Hồ Chí Minh, nan",10.7818475,106.705108,2139904164
Pizza Hut,93 Phan Xích Long,"93 Phan Xích Long, nan, Quận Phú Nhuận, Thành phố Hồ Chí Minh, nan",10.7972201,106.6907929,692822151
Quán Ăn Vương Gia Tửu,15 Hoa Phượng,"15 Hoa Phượng, nan, nan, nan, nan",10.7978659,106.6874239,366402138
Chùa Giác Lâm,118 Lạc Long Quân,"118 Lạc Long Quân, nan, Tân Bình, nan, nan",10.7789121,106.6492197,5772194293
Phòng Khám Đa Khoa DIamond,181 Võ Thị Sáu,"181 Võ Thị Sáu, nan, 3, Ho Chi Minh City, nan",10.7817623,106.6863546,2230862224
Cà Phê TEE,271/9 Nguyễn Trọng Tuyển,"271/9 Nguyễn Trọng Tuyển, nan, nan, HCMC, nan",10.7969963,106.6705977,5721608406
Khách Sạn White Lotus,6a Thi Sách,"6a Thi Sách, nan, nan, nan, nan",10.7776953,106.7055012,411919045
Cà Phê Miền Đồng Thảo,221A Nguyễn Trọng Tuyển,"221A Nguyễn Trọng Tuyển, nan, nan, HCMC, nan",10.7972044,106.6752752,6349849949
Quán Ăn Pháp Ti Ti,67/4/118 Vu Huy Tan,"67/4/118 Vu Huy Tan, nan, nan, HCMC, nan",10.7956297,106.6949528,5350664374
Nhà Hàng Skewers,9a Thái Văn Lung,"9a Thái Văn Lung, nan, nan, nan, nan",10.7790115,106.7047525,4605180970
Khách Sạn King Star,18 Cao Bá Quát,"18 Cao Bá Quát, nan, nan, nan, nan",10.7780677,106.7041264,411918627
Nhà Hàng Som Tum Thai,29 Lê Thánh Tôn,"29 Lê Thánh Tôn, nan, nan, nan, nan",10.7792532,106.7038786,411926498
Khách Sạn May,28-30 Thi Sách,"28-30 Thi Sách, nan, nan, nan, nan",10.7778185,106.7007546,411926380
Mercedes-Benz,811-813 Nguyễn Văn Linh,"811-813 Nguyễn Văn Linh, nan, nan, nan, nan",10.728241,106.7144727,2210763326
Izakaya Noboru,R2-01 Đường Số 2,"R2-01 Đường Số 2, nan, Quận 7, Hồ Chí Minh, nan",10.7336504,106.7082869,735998181
S.C Pharma,B011 Nguyễn Văn Linh,"B011 Nguyễn Văn Linh, nan, nan, nan, nan",10.7293439,106.7096837,2367246554
AEON Citimart B&B,S4-1 Bùi Bằng Đoàn,"S4-1 Bùi Bằng Đoàn, nan, Quận 7, Hồ Chí Minh, nan",10.7299816,106.7087541,735998195
